date,Ukraine,Putin,Inflace,b,covid,XXX
2021-12-01,0,0,0,32,37,65
2021-12-02,0,0,0,29,34,67
2021-12-03,0,0,86,29,33,73
2021-12-04,0,0,0,35,30,74
2021-12-05,0,0,0,34,32,76
2021-12-06,0,0,81,31,36,66
2021-12-07,1,1,0,32,34,74
2021-12-08,0,1,0,100,61,65
2021-12-09,0,1,0,44,48,72
2021-12-10,0,0,0,34,41,72
2021-12-11,0,0,0,32,40,70
2021-12-12,1,0,0,31,65,78
2021-12-13,0,1,0,30,100,71
2021-12-14,0,0,0,32,89,66
2021-12-15,0,1,0,30,78,67
2021-12-16,0,0,91,26,69,75
2021-12-17,0,0,0,27,81,80
2021-12-18,0,0,0,28,61,81
2021-12-19,0,0,0,33,61,85
2021-12-20,0,0,0,30,65,81
2021-12-21,0,1,0,29,64,77
2021-12-22,0,1,0,30,60,73
2021-12-23,0,1,0,27,51,84
2021-12-24,0,1,0,26,45,83
2021-12-25,0,1,0,23,37,84
2021-12-26,0,0,100,33,49,75
2021-12-27,0,0,0,36,56,82
2021-12-28,0,0,0,32,51,80
2021-12-29,0,1,0,30,57,86
2021-12-30,0,0,0,30,57,88
2021-12-31,0,1,0,31,48,76
2022-01-01,0,0,0,34,41,84
2022-01-02,0,0,0,38,42,89
2022-01-03,0,0,0,38,49,80
2022-01-04,0,0,0,31,50,69
2022-01-05,0,0,0,29,48,69
2022-01-06,0,0,0,29,41,69
2022-01-07,0,0,0,29,34,69
2022-01-08,0,0,0,32,33,75
2022-01-09,0,0,0,33,34,81
2022-01-10,0,0,0,27,35,67
2022-01-11,0,0,0,28,31,69
2022-01-12,0,0,88,28,30,73
2022-01-13,0,0,0,30,29,76
2022-01-14,1,0,0,28,27,72
2022-01-15,1,0,0,34,24,78
2022-01-16,1,0,0,32,27,80
2022-01-17,1,0,0,32,31,78
2022-01-18,1,0,0,29,29,72
2022-01-19,1,1,0,33,55,72
2022-01-20,2,1,0,33,51,71
2022-01-21,3,2,0,30,49,68
2022-01-22,2,2,99,39,24,87
2022-01-23,2,2,0,34,26,81
2022-01-24,4,3,84,31,30,70
2022-01-25,4,4,0,31,27,65
2022-01-26,4,4,0,30,27,70
2022-01-27,3,2,0,31,25,79
2022-01-28,3,2,0,28,22,75
2022-01-29,2,2,0,33,21,82
2022-01-30,2,2,0,32,22,83
2022-01-31,1,1,0,29,26,70
2022-02-01,2,1,0,29,25,74
2022-02-02,2,1,0,29,23,72
2022-02-03,1,1,0,28,22,71
2022-02-04,1,2,0,28,19,72
2022-02-05,1,1,0,30,17,85
2022-02-06,1,1,0,32,20,84
2022-02-07,1,1,0,29,22,69
2022-02-08,1,2,0,27,20,66
2022-02-09,1,1,0,28,23,74
2022-02-10,2,3,0,27,20,75
2022-02-11,4,5,0,29,19,80
2022-02-12,7,5,0,32,16,100
2022-02-13,6,6,0,36,17,97
2022-02-14,8,5,0,28,18,77
2022-02-15,6,5,0,30,19,75
2022-02-16,4,3,0,29,19,73
2022-02-17,4,4,0,28,16,77
2022-02-18,4,4,0,28,13,74
2022-02-19,6,4,0,33,13,87
2022-02-20,7,5,0,31,19,96
2022-02-21,8,11,0,30,24,73
2022-02-22,19,18,0,31,20,79
2022-02-23,11,14,0,28,18,74
2022-02-24,100,100,0,28,14,72
2022-02-25,75,71,0,28,12,73
2022-02-26,65,48,0,32,10,86
2022-02-27,0,0,0,0,0,0
