PERIOD;CZ;DE
1995-Q1;377870;466950
1995-Q2;389553;466647
1995-Q3;404725;475008
1995-Q4;412945;478600
1996-Q1;441699;479207
1996-Q2;449070;473847
1996-Q3;457541;480802
1996-Q4;468386;484635
1997-Q1;477280;488166
1997-Q2;481046;485384
1997-Q3;490901;491640
1997-Q4;507280;494152
1998-Q1;522370;498434
1998-Q2;537726;501914
1998-Q3;543918;503222
1998-Q4;540094;505222
1999-Q1;543829;506063
1999-Q2;555484;509968
1999-Q3;562805;511754
1999-Q4;574763;516770
2000-Q1;576606;521703
2000-Q2;591491;525929
2000-Q3;603079;529899
2000-Q4;609608;530592
2001-Q1;623094;530139
2001-Q2;635624;542484
2001-Q3;650104;544290
2001-Q4;660662;545850
2002-Q1;661331;550011
2002-Q2;671294;549871
2002-Q3;672831;549983
2002-Q4;675412;556277
2003-Q1;691806;556617
2003-Q2;699919;552096
2003-Q3;703731;552443
2003-Q4;713953;558988
2004-Q1;742334;559905
2004-Q2;747520;562912
2004-Q3;769085;567157
2004-Q4;798347;566836
2005-Q1;800820;566399
2005-Q2;807378;568024
2005-Q3;815611;572056
2005-Q4;837873;577797
2006-Q1;851405;579439
2006-Q2;867114;584856
2006-Q3;888722;596105
2006-Q4;907623;602340
2007-Q1;942120;610654
2007-Q2;947050;620027
2007-Q3;970043;626461
2007-Q4;982669;633425
2008-Q1;992731;636590
2008-Q2;1009334;643266
2008-Q3;1020045;643197
2008-Q4;997751;641109
2009-Q1;995959;630542
2009-Q2;977913;607266
2009-Q3;972708;610012
2009-Q4;985356;616861
2010-Q1;980135;624138
2010-Q2;992121;628091
2010-Q3;993197;640580
2010-Q4;992965;649077
2011-Q1;997304;656703
2011-Q2;1004510;668772
2011-Q3;1010025;671753
2011-Q4;1018041;677864
2012-Q1;1016903;680705
2012-Q2;1015412;684874
2012-Q3;1012851;687478
2012-Q4;1013802;693397
2013-Q1;1011666;693704
2013-Q2;1015294;695741
2013-Q3;1023046;704652
2013-Q4;1047070;712041
2014-Q1;1052596;718335
2014-Q2;1068012;728688
2014-Q3;1086750;731306
2014-Q4;1105218;736348
2015-Q1;1124851;746703
2015-Q2;1144791;751375
2015-Q3;1159668;759296
2015-Q4;1168477;763468
2016-Q1;1181683;771814
2016-Q2;1185584;782405
2016-Q3;1195161;786938
2016-Q4;1203410;788846
2017-Q1;1224225;795920
2017-Q2;1256656;806315
2017-Q3;1277280;816786
2017-Q4;1293581;825711
2018-Q1;1307095;832520
2018-Q2;1317115;837921
