DATE,CLVMNACSCAB1GQFI
1990-01-01,32133.4
1990-04-01,31691.2
1990-07-01,31012.2
1990-10-01,30834.4
1991-01-01,30233.1
1991-04-01,29871.2
1991-07-01,29256.5
1991-10-01,28913.5
1992-01-01,29006.4
1992-04-01,28680.3
1992-07-01,28446.2
1992-10-01,28245.2
1993-01-01,28311.3
1993-04-01,28256.8
1993-07-01,28418.5
1993-10-01,28632.9
1994-01-01,28823.2
1994-04-01,29073.4
1994-07-01,29737.2
1994-10-01,30485.9
1995-01-01,30234.0
1995-04-01,31046.1
1995-07-01,30905.8
1995-10-01,30921.0
1996-01-01,31478.5
1996-04-01,31726.9
1996-07-01,31910.9
1996-10-01,32508.7
1997-01-01,32891.9
1997-04-01,33391.4
1997-07-01,34178.5
1997-10-01,35185.4
1998-01-01,34929.0
1998-04-01,35633.9
1998-07-01,36081.5
1998-10-01,36401.4
1999-01-01,37001.8
1999-04-01,37198.3
1999-07-01,37396.7
1999-10-01,37715.6
2000-01-01,38840.5
2000-04-01,39139.8
2000-07-01,39752.7
2000-10-01,40175.3
2001-01-01,40371.8
2001-04-01,40420.1
2001-07-01,40675.6
2001-10-01,40561.2
2002-01-01,40826.6
2002-04-01,41230.4
2002-07-01,41133.9
2002-10-01,41602.1
2003-01-01,41308.1
2003-04-01,41902.3
2003-07-01,42403.5
2003-10-01,42481.2
2004-01-01,43023.5
2004-04-01,43393.4
2004-07-01,43864.3
2004-10-01,44524.5
2005-01-01,44965.0
2005-04-01,44427.1
2005-07-01,45070.4
2005-10-01,45200.0
2006-01-01,46327.5
2006-04-01,46440.9
2006-07-01,46882.3
2006-10-01,47250.4
2007-01-01,48163.5
2007-04-01,49029.2
2007-07-01,49479.5
2007-10-01,50132.6
2008-01-01,50071.0
2008-04-01,49668.9
2008-07-01,49840.5
2008-10-01,48771.0
2009-01-01,45611.8
2009-04-01,45412.6
2009-07-01,45832.5
2009-10-01,45478.7
2010-01-01,45934.4
2010-04-01,47203.0
2010-07-01,47009.2
2010-10-01,47996.4
2011-01-01,48264.5
2011-04-01,48180.5
2011-07-01,48239.4
2011-10-01,48252.8
2012-01-01,48042.0
2012-04-01,47533.6
2012-07-01,47350.5
2012-10-01,47313.8
2013-01-01,46908.2
2013-04-01,47124.4
2013-07-01,47288.8
2013-10-01,47203.9
2014-01-01,46839.4
2014-04-01,46915.4
2014-07-01,47096.7
2014-10-01,46984.2
2015-01-01,46618.7
2015-04-01,47328.1
2015-07-01,47323.7
2015-10-01,47589.0
2016-01-01,48176.0
2016-04-01,48251.0
2016-07-01,48796.0
2016-10-01,48946.1
2017-01-01,49439.3
2017-04-01,50079.9
2017-07-01,50267.5
2017-10-01,50583.8
2018-01-01,50722.3
2018-04-01,50733.9
2018-07-01,50610.6
2018-10-01,50590.1
2019-01-01,50986.8
2019-04-01,51439.7
2019-07-01,51410.2
2019-10-01,51292.3
2020-01-01,51137.8
2020-04-01,47979.4
2020-07-01,50392.6
2020-10-01,50904.6
2021-01-01,50758.9
2021-04-01,51669.3
2021-07-01,52148.2
2021-10-01,52451.1
