"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","HUR","TOT","PC_LF","M","1990-01",3,
"FIN","HUR","TOT","PC_LF","M","1990-02",3,
"FIN","HUR","TOT","PC_LF","M","1990-03",3,
"FIN","HUR","TOT","PC_LF","M","1990-04",3,
"FIN","HUR","TOT","PC_LF","M","1990-05",2.9,
"FIN","HUR","TOT","PC_LF","M","1990-06",2.9,
"FIN","HUR","TOT","PC_LF","M","1990-07",2.9,
"FIN","HUR","TOT","PC_LF","M","1990-08",3,
"FIN","HUR","TOT","PC_LF","M","1990-09",3.2,
"FIN","HUR","TOT","PC_LF","M","1990-10",3.5,
"FIN","HUR","TOT","PC_LF","M","1990-11",3.7,
"FIN","HUR","TOT","PC_LF","M","1990-12",3.9,
"FIN","HUR","TOT","PC_LF","M","1991-01",4.3,
"FIN","HUR","TOT","PC_LF","M","1991-02",4.6,
"FIN","HUR","TOT","PC_LF","M","1991-03",5,
"FIN","HUR","TOT","PC_LF","M","1991-04",5.4,
"FIN","HUR","TOT","PC_LF","M","1991-05",5.9,
"FIN","HUR","TOT","PC_LF","M","1991-06",6.4,
"FIN","HUR","TOT","PC_LF","M","1991-07",6.9,
"FIN","HUR","TOT","PC_LF","M","1991-08",7.5,
"FIN","HUR","TOT","PC_LF","M","1991-09",8,
"FIN","HUR","TOT","PC_LF","M","1991-10",8.3,
"FIN","HUR","TOT","PC_LF","M","1991-11",8.7,
"FIN","HUR","TOT","PC_LF","M","1991-12",9.2,
"FIN","HUR","TOT","PC_LF","M","1992-01",9.6,
"FIN","HUR","TOT","PC_LF","M","1992-02",9.9,
"FIN","HUR","TOT","PC_LF","M","1992-03",10.1,
"FIN","HUR","TOT","PC_LF","M","1992-04",10.5,
"FIN","HUR","TOT","PC_LF","M","1992-05",11,
"FIN","HUR","TOT","PC_LF","M","1992-06",11.6,
"FIN","HUR","TOT","PC_LF","M","1992-07",12.2,
"FIN","HUR","TOT","PC_LF","M","1992-08",12.6,
"FIN","HUR","TOT","PC_LF","M","1992-09",13,
"FIN","HUR","TOT","PC_LF","M","1992-10",13.3,
"FIN","HUR","TOT","PC_LF","M","1992-11",13.6,
"FIN","HUR","TOT","PC_LF","M","1992-12",13.9,
"FIN","HUR","TOT","PC_LF","M","1993-01",14.2,
"FIN","HUR","TOT","PC_LF","M","1993-02",14.7,
"FIN","HUR","TOT","PC_LF","M","1993-03",15.2,
"FIN","HUR","TOT","PC_LF","M","1993-04",15.6,
"FIN","HUR","TOT","PC_LF","M","1993-05",16.1,
"FIN","HUR","TOT","PC_LF","M","1993-06",16.5,
"FIN","HUR","TOT","PC_LF","M","1993-07",16.8,
"FIN","HUR","TOT","PC_LF","M","1993-08",17.1,
"FIN","HUR","TOT","PC_LF","M","1993-09",17.3,
"FIN","HUR","TOT","PC_LF","M","1993-10",17.5,
"FIN","HUR","TOT","PC_LF","M","1993-11",17.5,
"FIN","HUR","TOT","PC_LF","M","1993-12",17.6,
"FIN","HUR","TOT","PC_LF","M","1994-01",17.6,
"FIN","HUR","TOT","PC_LF","M","1994-02",16.6,
"FIN","HUR","TOT","PC_LF","M","1994-03",16.8,
"FIN","HUR","TOT","PC_LF","M","1994-04",17,
"FIN","HUR","TOT","PC_LF","M","1994-05",17.1,
"FIN","HUR","TOT","PC_LF","M","1994-06",17.1,
"FIN","HUR","TOT","PC_LF","M","1994-07",16.9,
"FIN","HUR","TOT","PC_LF","M","1994-08",16.5,
"FIN","HUR","TOT","PC_LF","M","1994-09",16.2,
"FIN","HUR","TOT","PC_LF","M","1994-10",15.9,
"FIN","HUR","TOT","PC_LF","M","1994-11",15.7,
"FIN","HUR","TOT","PC_LF","M","1994-12",15.5,
"FIN","HUR","TOT","PC_LF","M","1995-01",15.3,
"FIN","HUR","TOT","PC_LF","M","1995-02",15.1,
"FIN","HUR","TOT","PC_LF","M","1995-03",14.9,
"FIN","HUR","TOT","PC_LF","M","1995-04",14.8,
"FIN","HUR","TOT","PC_LF","M","1995-05",14.8,
"FIN","HUR","TOT","PC_LF","M","1995-06",14.9,
"FIN","HUR","TOT","PC_LF","M","1995-07",15,
"FIN","HUR","TOT","PC_LF","M","1995-08",15,
"FIN","HUR","TOT","PC_LF","M","1995-09",15,
"FIN","HUR","TOT","PC_LF","M","1995-10",15.1,
"FIN","HUR","TOT","PC_LF","M","1995-11",15.2,
"FIN","HUR","TOT","PC_LF","M","1995-12",15.3,
"FIN","HUR","TOT","PC_LF","M","1996-01",15.2,
"FIN","HUR","TOT","PC_LF","M","1996-02",15.1,
"FIN","HUR","TOT","PC_LF","M","1996-03",13.9,
"FIN","HUR","TOT","PC_LF","M","1996-04",14.1,
"FIN","HUR","TOT","PC_LF","M","1996-05",14.4,
"FIN","HUR","TOT","PC_LF","M","1996-06",14.7,
"FIN","HUR","TOT","PC_LF","M","1996-07",14.9,
"FIN","HUR","TOT","PC_LF","M","1996-08",14.9,
"FIN","HUR","TOT","PC_LF","M","1996-09",14.8,
"FIN","HUR","TOT","PC_LF","M","1996-10",14.6,
"FIN","HUR","TOT","PC_LF","M","1996-11",14.4,
"FIN","HUR","TOT","PC_LF","M","1996-12",13.6,
"FIN","HUR","TOT","PC_LF","M","1997-01",13.5,
"FIN","HUR","TOT","PC_LF","M","1997-02",13.4,
"FIN","HUR","TOT","PC_LF","M","1997-03",13.3,
"FIN","HUR","TOT","PC_LF","M","1997-04",13.2,
"FIN","HUR","TOT","PC_LF","M","1997-05",13,
"FIN","HUR","TOT","PC_LF","M","1997-06",12.7,
"FIN","HUR","TOT","PC_LF","M","1997-07",12.5,
"FIN","HUR","TOT","PC_LF","M","1997-08",12.3,
"FIN","HUR","TOT","PC_LF","M","1997-09",12.2,
"FIN","HUR","TOT","PC_LF","M","1997-10",12.1,
"FIN","HUR","TOT","PC_LF","M","1997-11",12,
"FIN","HUR","TOT","PC_LF","M","1997-12",11.9,
"FIN","HUR","TOT","PC_LF","M","1998-01",11.8,
"FIN","HUR","TOT","PC_LF","M","1998-02",11.7,
"FIN","HUR","TOT","PC_LF","M","1998-03",11.7,
"FIN","HUR","TOT","PC_LF","M","1998-04",11.7,
"FIN","HUR","TOT","PC_LF","M","1998-05",11.7,
"FIN","HUR","TOT","PC_LF","M","1998-06",11.6,
"FIN","HUR","TOT","PC_LF","M","1998-07",11.5,
"FIN","HUR","TOT","PC_LF","M","1998-08",11.3,
"FIN","HUR","TOT","PC_LF","M","1998-09",11,
"FIN","HUR","TOT","PC_LF","M","1998-10",10.9,
"FIN","HUR","TOT","PC_LF","M","1998-11",10.8,
"FIN","HUR","TOT","PC_LF","M","1998-12",10.8,
"FIN","HUR","TOT","PC_LF","M","1999-01",10.7,
"FIN","HUR","TOT","PC_LF","M","1999-02",10.6,
"FIN","HUR","TOT","PC_LF","M","1999-03",10.5,
"FIN","HUR","TOT","PC_LF","M","1999-04",10.4,
"FIN","HUR","TOT","PC_LF","M","1999-05",10.3,
"FIN","HUR","TOT","PC_LF","M","1999-06",10.3,
"FIN","HUR","TOT","PC_LF","M","1999-07",10.2,
"FIN","HUR","TOT","PC_LF","M","1999-08",10.1,
"FIN","HUR","TOT","PC_LF","M","1999-09",10,
"FIN","HUR","TOT","PC_LF","M","1999-10",10.1,
"FIN","HUR","TOT","PC_LF","M","1999-11",10.1,
"FIN","HUR","TOT","PC_LF","M","1999-12",10.1,
"FIN","HUR","TOT","PC_LF","M","2000-01",10.1,
"FIN","HUR","TOT","PC_LF","M","2000-02",10.2,
"FIN","HUR","TOT","PC_LF","M","2000-03",10.2,
"FIN","HUR","TOT","PC_LF","M","2000-04",10,
"FIN","HUR","TOT","PC_LF","M","2000-05",9.8,
"FIN","HUR","TOT","PC_LF","M","2000-06",9.6,
"FIN","HUR","TOT","PC_LF","M","2000-07",9.6,
